Incident ID,Incident Date,state,City_Or_County,Address,n_killed,n_injured
2202397,1/1/2022,Indiana,Indianapolis,3800 block of N Temple Ave,0,1
2202390,1/1/2022,Michigan,Detroit,Joy Rd and Prest St,0,1
2205160,1/1/2022,North Carolina,Summerfield,Spotswood Rd and Ashview Ct,0,1
2211626,1/1/2022,Kansas,Lawrence,1837 N 1500 Rd,0,1
2206646,1/1/2022,Oklahoma,Oklahoma City,S McKinley Ave and SW 27th St,1,1
2202384,1/1/2022,Illinois,Chicago,3100 block of N Central Ave,0,1
2202206,1/1/2022,Virginia,Portsmouth,4020 Victory Blvd,0,1
2202519,1/1/2022,Indiana,Indianapolis,2200 block of W Walnut St,1,0
2202025,1/1/2022,Missouri,Columbia,122 S 9th St,0,4
2202210,1/1/2022,Virginia,Norfolk,1200 block of Lead St,1,0
2203581,1/1/2022,Virginia,Woodbridge,15201 Potomac Town Pl,0,1
2204355,1/1/2022,Tennessee,Afton,1665 Bill Jones Rd,0,1
2202148,1/1/2022,Tennessee,Memphis,3150 S Perkins Rd,0,2
2202187,1/1/2022,Virginia,Moneta,14807 Moneta Rd,1,0
2222169,1/1/2022,Tennessee,Cordova,Purple Leaf Ln,0,2
2202156,1/1/2022,Tennessee,Cordova,1400 block of Archstone Dr,1,0
2201651,1/1/2022,Pennsylvania,Philadelphia,3900 block of Frankford Ave,0,3
2204263,1/1/2022,Tennessee,Dyersburg,Light St,1,0
2202296,1/1/2022,Illinois,Rockford,3300 block of Sunnyside Ave,0,1
2202294,1/1/2022,New Jersey,Hillside,100 block of Valleyview Rd,0,1
2208526,1/1/2022,Virginia,Virginia Beach,Malibu Palms Dr,0,1
2201619,1/1/2022,Pennsylvania,Pittsburgh,1300 block of Wood St,1,0
2202765,1/1/2022,Alabama,Montgomery,Mobile Rd and Beecher St,1,0
2202251,1/1/2022,Illinois,Rockford,Tacoma Ave,0,1
2205807,1/1/2022,Virginia,Richmond,North Ave,1,0
2201682,1/1/2022,Illinois,Chicago,6000 block of S Bishop St,1,0
2201819,1/1/2022,Illinois,Chicago,1000 block of N Hamlin Ave,1,0
2202286,1/1/2022,Illinois,Rockford,800 block of Royal Ave,0,1
2204232,1/1/2022,Mississippi,Jackson,Old Canton Rd and Parkway Dr,0,1
2202855,1/1/2022,Virginia,Petersburg,1200 block of Commerce St,0,2
2205797,1/1/2022,Virginia,Richmond,Cedar St,0,1
2202450,1/1/2022,Louisiana,New Orleans,Decatur St and Spain St,0,1
2202021,1/1/2022,Oregon,Portland,4439 NE 131st Pl,2,1
2202836,1/1/2022,North Carolina,Durham,4515 NC-55,0,1
2202087,1/1/2022,Pennsylvania,Pittsburgh,1700 block of E Carson St,0,3
2202826,1/1/2022,Louisiana,New Orleans (Algiers),1400 block of Sumner St,0,1
2202888,1/1/2022,Missouri,Saint Joseph,1101 Randolph St,1,0
2201834,1/1/2022,Maryland,Baltimore,3600 block of Gelston Dr,2,1
2202592,1/1/2022,California,Mc Farland (Mcfarland),E Sherwood Ave and San Lucas St,0,1
2202669,1/1/2022,Florida,Tallahassee,800 Block of Okaloosa St,1,0
2203425,1/1/2022,Tennessee,Chattanooga,1400 block of Ivy St,0,1
2201638,1/1/2022,Connecticut,Bridgeport,40 Logan St,0,1
2202661,1/1/2022,Florida,Haines City,N 12th St and Ave I,1,0
2202808,1/1/2022,North Carolina,Greensboro,N/A,0,1
2202195,1/1/2022,District of Columbia,Washington,Georgia Ave NW and Kennedy St NW,0,2
2201754,1/1/2022,Florida,Sarasota,1429 Main St,1,0
2202676,1/1/2022,Nevada,Las Vegas,3200 block of E Flamingo Rd,1,0
2202790,1/1/2022,California,Salida,4200 block of San Martin Ct,1,0
2201635,1/1/2022,Pennsylvania,Philadelphia,W Cambria St and N 8th St,0,2
2203482,1/1/2022,Maryland,Elkton,262 Belle Hill Rd,1,0
2202231,1/1/2022,Kentucky,Louisville,Smyrna Pkwy and Outer Loop,1,0
2202172,1/1/2022,Pennsylvania,Philadelphia,Torresdale Ave and Howell St,0,1
2202170,1/1/2022,California,Santa Clarita,28200 block of Florabunda Rd,0,1
2201704,1/1/2022,Ohio,Canton,2300 block of 10th St,1,0
2201789,1/1/2022,Maryland,Clinton,6000 block of Plata St,1,0
2202769,1/1/2022,Georgia,Atlanta,2909 Campbellton Rd,0,1
2201844,1/1/2022,North Carolina,Durham,1800 block of Cheek Rd,0,1
2202135,1/1/2022,Illinois,Westmont,430 E Ogden Ave,0,2
2201629,1/1/2022,Pennsylvania,Philadelphia,1600 block of Cecil B Moore Ave,1,4
2202080,1/1/2022,Wisconsin,Milwaukee,100 block of W Wisconsin Ave,0,1
2202085,1/1/2022,Wisconsin,Milwaukee,5900 block of N 62nd St,0,1
2202096,1/1/2022,Wisconsin,Milwaukee,2800 block of N 20th St,1,0
2202105,1/1/2022,Wisconsin,Milwaukee,4900 block of W Villard Ave,0,1
2202757,1/1/2022,Georgia,Savannah,2000 block of Texas Ave,0,1
2202752,1/1/2022,Alabama,Mobile,600 S Washington Ave,1,0
2204852,1/1/2022,Alabama,Shorter,540 Main St,1,0
2202064,1/1/2022,Washington,Seattle,N/A,0,1
2201995,1/1/2022,Louisiana,Shreveport,3400 block of Gorton Rd,0,1
2202050,1/1/2022,Louisiana,Shreveport,4200 block of Greenwood Lane,0,1
2223769,1/1/2022,Texas,San Antonio (Live Oak),7249 Rimwood St,1,0
2202045,1/1/2022,Texas,San Antonio,5138 UTSA Blvd,0,1
2202472,1/1/2022,Alabama,Birmingham,300 block of 24th St S,1,0
2204129,1/1/2022,Texas,Laredo,4500 block of Emma Ln,0,1
2203291,1/1/2022,Texas,Poteet,500 block of Amphion Rd,1,0
2202031,1/1/2022,Illinois,Peoria,3400 block of W Oakcrest Ave,0,1
2204807,1/1/2022,Hawaii,Waianae,Jade St,0,2
2211345,1/1/2022,New York,New York (Manhattan),W 38th St and 10th Ave,0,1
2202803,1/1/2022,North Carolina,Grimesland,3340 Alvin Rd,1,0
2201874,1/1/2022,Indiana,Fort Wayne,10000 block of Hickory Tree Rd,1,0
2210307,1/1/2022,Ohio,Toledo,1700 block Clinton St,0,1
2216846,1/1/2022,Ohio,Cleveland,N/A,0,1
2204803,1/1/2022,Texas,Mcallen,N/A,1,0
2202715,1/1/2022,Maryland,Baltimore,2000 block of N Broadway,0,1
2216844,1/1/2022,Ohio,Cleveland,8000 block of Jones Rd,0,1
2216839,1/1/2022,Ohio,Cleveland,Woodland Ave and E 112th St,0,2
2216835,1/1/2022,Ohio,Cleveland,E 78th St and Cedar Ave,0,1
2216833,1/1/2022,Ohio,Cleveland,10100 block of Hilgert Dr,0,1
2204101,1/1/2022,South Carolina,Cayce,Circle Dr,2,0
2204097,1/1/2022,South Carolina,Lamar,Bo Smith Rd,0,1
2204089,1/1/2022,Texas,Houston,8600 Westpark Tollway,0,3
2201641,1/1/2022,Wisconsin,Kenosha,1708 52nd St,1,3
2202682,1/1/2022,District of Columbia,Washington,New York Ave NE and Florida Ave NE,0,1
2202001,1/1/2022,Illinois,Peoria,2000 block of SW Adams St,2,2
2202504,1/1/2022,Nevada,Reno,1280 Gentry Way,1,0
2203216,1/1/2022,New Hampshire,Sullivan,Valley Rd,0,1
2201876,1/1/2022,South Carolina,Dillon,3261 Hwy 9,0,5
2201979,1/1/2022,South Carolina,Dillon,102 SC-301,0,1
2268070,1/1/2022,Washington,Seattle,1400 block of 3rd Ave,0,1
2203202,1/1/2022,Florida,Ocala,4001 W Silver Springs Blvd,1,0
2202414,1/1/2022,Wisconsin,Milwaukee,N 26th St and W Roosevelt Dr,0,1
2204069,1/1/2022,Texas,Houston,17435 Imperial Valley Dr,0,1
2202672,1/1/2022,Wisconsin,Milwaukee,N 46th St and W Locust St,0,1
2202073,1/1/2022,Washington,Seattle,172 S Washington St,0,1
2201953,1/1/2022,North Carolina,Greensboro,Huntley Ct,0,1
2201942,1/1/2022,Ohio,Cincinnati,1500 block of Summit Rd,1,0
2202107,1/1/2022,Wisconsin,Milwaukee,6000 block of N Sherman Blvd,0,1
2203162,1/1/2022,Texas,Beaumont,2300 block of Taylor St,1,0
2201925,1/1/2022,Ohio,Columbus,3000 block of Sterling Ln,0,1
2201919,1/1/2022,Kentucky,Louisville,4300 block of Lynnview Dr,0,1
2202614,1/1/2022,Florida,Orlando,Cinderlane Pkwy and Rosewood Way,0,3
2201911,1/1/2022,North Carolina,Charlotte,N Tryon St,0,1
2204027,1/1/2022,South Carolina,Aiken,700 block of Chime Bell Church Rd,0,1
2204022,1/1/2022,Texas,Arlington,2000 block of Springcrest Dr,0,1
2202597,1/1/2022,California,Oakland,1400 block of 34th St,1,0
2202646,1/1/2022,California,Sacramento,7300 block of Berna Way,1,0
2202582,1/1/2022,Florida,Jacksonville,2100 block of W 40th St,0,1
2204656,1/1/2022,Florida,Gainesville,SW 68th Terrace,1,0
